id,province
0,北京
0,云南
1,广东
2,贵州
3,湖南
4,忠州
4,重庆
5,河南
5,武陟
6,江苏
6,姑苏区
6,西馆
8,河南
9,浙江
9,缙云
9,陕西
9,黄陵
9,河南
9,新郑
10,山西
10,盐湖区
11,玉树州
11,北京
11,上海
12,妈祖
12,福建
12,浙江
12,江西
12,港澳
12,古田
13,沂蒙
15,湖南
16,黑龙江
16,北京
17,盐湖区
18,浙江
18,梅城镇
19,四川
19,台湾
20,光大
21,新疆
22,广东
22,金平区
23,香港
23,顶虚
24,陕西
25,贵州
25,美国
26,辽宁
27,广西
28,上海
28,河间
29,山东
30,麦积区
30,温来弟
32,西柏坡
34,上海
35,江苏
35,崇川区
36,山东
36,重庆
36,齐鲁
37,江苏
37,美国
38,浙江
40,河南
40,中国
40,日本
40,韩国
41,上海
42,河南
45,湖南
46,贵州
46,南明区
47,彝族
50,敦煌
50,甘肃
52,江苏
53,天津
53,埃塞俄比亚
53,南非
53,法国
53,意大利
53,葡萄牙
54,西藏
55,北京
56,北京
56,三里屯
59,阿坝州
59,马尔康
59,嘉绒
59,俄尔雅
60,北京
61,海南
61,聚焦文
62,湖南
62,湘
62,韶山
63,安徽
64,广东
65,安化
66,北京
68,湖南
69,江西
69,东乡
71,浙江
72,四川
73,北京
74,四川
75,湖南
76,云南
76,西山区
77,四川
79,浙江
80,浙江
81,贵州
82,贵州
82,土城
83,浙江
85,大陆
85,隶楷
86,浙江
86,新昌
87,内蒙古
87,广东
88,昌江水
88,昌江
88,昌江菜
89,湖北
89,孝南区
90,山东
90,市北区
91,西藏
92,贵州
92,黔东
92,黔东南州
93,江苏
94,广西
96,土城
96,贵州
97,白云区
98,新中国
98,豫西
98,陕东
98,晋中南
100,浙江
101,广西
105,特左
105,满洲里市
105,中国
105,俄
105,锡林浩特市
106,新疆
106,巴州
107,新疆
107,阿瓦提
109,日本
109,韩国
111,肥西
112,泉塘
113,广西
114,四川
114,北京
115,广西
116,四川
117,四川
118,四川
119,山东
120,安徽
120,北京
120,天津
120,河北
120,辽宁
120,吉林
120,上海
120,江苏
120,浙江
120,福建
120,江西
120,山东
120,河南
120,湖北
120,湖南
120,广东
120,重庆
120,四川
120,云南
120,宁夏
121,北京
124,新疆
125,浙江
126,江苏
128,粤
128,澳门
130,粤
130,香港
131,秭归
131,湖北
132,山东
132,博山
133,墨西哥
133,塔金
134,浙江杭州
138,河北
139,纽约
139,广西
140,庄浪
140,布设乡村
142,四川
142,安徽
142,蜀山区
143,推湖
144,普定
146,北京
148,宁夏
150,河北
152,浩特
153,北京
153,山东
153,曲阜
153,齐鲁
153,曲阜市
154,江苏
155,广西
155,粤
155,广东
155,香港
155,澳门
156,晋江
157,西藏
157,比藏
157,藏文化
158,广东
158,粤
160,甘肃
160,敦煌
160,旅游户
160,敦煌市
161,西藏
161,上海
162,河南
162,新疆
163,靖江市
167,湖南
168,四川
168,美名扬
169,海南
170,重庆
170,四川
171,广西
172,普吉
172,泰南
176,重庆市
177,两江
177,重庆
178,四川
179,石狮
179,福建
182,东方
183,大方
184,云南
184,彝族
184,蒙自市
184,蒙自
184,滇
185,意大利
185,中意
185,四川
185,重庆
187,广西
187,广西壮族
188,光大
189,湖南
193,湖北
193,美国
194,云南
